SL. No,JOURNAL TITLE,SPECIMEN,SHAPE CODE,Boundary condition,Loading condition,Fy,Fu,E,ν,t,L,bw,bf1,bf2,bl1,bl2,q,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,Ultimate  Buckiling Strength (Mtest),Ultimate  Buckiling Strength (MFEM),Failure Mode,AISI,Eurocode 3,AS/NZS,y,y_from_fem,inconsistent_no_hole_metadata,inconsistent_sx_for_single_hole,geometry_signature,outlier_y_iqr
52,Oruç 1 2025,SQR_1_0.67_164_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,120,120,,4,90,224,284,,10.37,Local buckling,10.76,,,10.37,True,False,False,3dabc986a107dc403f541a508a18a81e,False
53,Oruç 1 2025,SQR_1_0.67_116_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,120,120,,5,90,178,236,,10.3,Local buckling,10.76,,,10.3,True,False,False,2fab3b00d5e5a6ef1cc101598bc1babc,False
54,Oruç 1 2025,SQR_1_0.78_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,140,140,,1,90,720,,,9.33,Local buckling,10.14,,,9.33,True,False,False,c95fcf952276ccdbfb11e5035cebe7ac,False
55,Oruç 1 2025,SQR_1_0.78_340_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,140,140,,2,90,410,460,,9.37,Local buckling,10.14,,,9.37,True,False,False,cb11642709a39c20e31bd0e97a782a24,False
56,Oruç 1 2025,SQR_1_0.78_220_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,140,140,,3,90,290,340,,9.18,Local buckling,10.14,,,9.18,True,False,False,d17de73e9c49921ee5dd9f541659e7b0,False
57,Oruç 1 2025,SQR_1_0.78_148_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,140,140,,4,90,218,268,,9.3,Local buckling,10.14,,,9.3,True,False,False,53559d7c84bae94529db012f3973b3ef,False
58,Oruç 1 2025,SQR_1_0.78_100_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,140,140,,5,90,170,220,,9.17,Local buckling,10.14,,,9.17,True,False,False,5219f65ac8126a4a14a1d7021ecd33d4,False
59,Oruç 1 2025,SQR_1_0.89_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,160,160,,1,90,730,,,7.37,Local buckling,9.59,,,7.37,True,False,False,cbb636c8ea467d6dadfef71c50f6f83b,False
60,Oruç 1 2025,SQR_1_0.89_327_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,160,160,,2,90,406.5,487,,7.62,Local buckling,9.59,,,7.62,True,False,False,11e5643d2078b0dbb2f55fe74a9494ff,False
61,Oruç 1 2025,SQR_1_0.89_205_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,160,160,,3,90,285,365,,7.53,Local buckling,9.59,,,7.53,True,False,False,d16d39d90d83990b7c59fec415c21a11,False
