SL. No,SPECIMEN,JOURNAL TITLE,geometry_signature,y,y_from_fem,replicate_count
154,H200r0.2d20t3.0,"Zhao et al., 2019",fdcb93632e9f07cfc87869444c38bd1f,22.87,True,1
155,H200r0.4d20t3.0,"Zhao et al., 2019",64f15e0c70e96162c74366638a21ce7f,22.04,True,1
156,H200r0.6d20t3.0,"Zhao et al., 2019",18d2830f276105cd3eb70c4858f1b27f,20.79,True,1
157,H200r0.8d20t3.0,"Zhao et al., 2019",1e45044e42ea562de72f51fb31eb25de,18.52,True,1
158,H220r0.2d20t2.0,"Zhao et al., 2019",0e4faa563c5f022cdc0501c10fe5f856,14.99,True,1
159,H220r0.4d20t2.0,"Zhao et al., 2019",c7ddd43e7934cc20410b10027a4ef5c8,14.76,True,1
160,H220r0.6d20t2.0,"Zhao et al., 2019",c0aa7f4da5cab867c5511b07f2623365,13.95,True,1
161,H220r0.8d20t2.0,"Zhao et al., 2019",521d7ed45d706f996619df2045b44815,12.93,True,1
162,H220r0.2d20t2.5,"Zhao et al., 2019",92a3d3883c0f23ca4234d14cc236d098,20.35,True,1
163,H220r0.4d20t2.5,"Zhao et al., 2019",456104133934a6c37d52697eb9c1359e,19.55,True,1
164,H220r0.6d20t2.5,"Zhao et al., 2019",1591b004b2c3080d9d0bdf2c8704cc7f,18.7,True,1
165,H220r0.8d20t2.5,"Zhao et al., 2019",328f1c71ef8d6e0309a72d738fd6a0c9,16.98,True,1
166,H220r0.2d20t3.0,"Zhao et al., 2019",5fc7a7e356be9ad3f4e640ab3197270b,25.44,True,1
167,H220r0.4d20t3.0,"Zhao et al., 2019",d1254b3c1872f9a697c2787a4835e98b,24.6,True,1
168,H220r0.6d20t3.0,"Zhao et al., 2019",b81c5be9c51698bb78f329624a95213c,23.21,True,1
169,H220r0.8d20t3.0,"Zhao et al., 2019",9129be87475755a0beb1c9a4c50c8ad7,20.57,True,1
170,H180r0.2d40t2.0,"Zhao et al., 2019",f930edc0d774c54b9122a447ad993648,14.56,True,1
171,H180r0.4d40t2.0,"Zhao et al., 2019",4f63a4c6d87b986b18c0ca706ef724c9,14.06,True,1
172,H180r0.6d40t2.0,"Zhao et al., 2019",917e9509fb92ca5c12dfd3cc38d47756,12.56,True,1
173,H180r0.8d40t2.0,"Zhao et al., 2019",669128f793642a7ee7a123b91176eaa0,10.83,True,1
174,H180r0.2d40t2.5,"Zhao et al., 2019",79041a84f5eeb88feead5c2fbe84cd0f,19.57,True,1
175,H180r0.4d40t2.5,"Zhao et al., 2019",175bff898b7d4d9043a7a0acaef1cc19,18.89,True,1
176,H180r0.6d40t2.5,"Zhao et al., 2019",74245a9f65772b6d27897d5d15856ea8,16.96,True,1
177,H180r0.8d40t2.5,"Zhao et al., 2019",2af698cbfbfefe28ede04be34c3150ae,14.89,True,1
178,H180r0.2d40t3.0,"Zhao et al., 2019",1b7d2bfdd5ce7907c31394b37e00dccf,24.45,True,1
179,H180r0.4d40t3.0,"Zhao et al., 2019",649a24c7f6eab732deca4ff380f6e6f3,23.32,True,1
180,H180r0.6d40t3.0,"Zhao et al., 2019",30cf7b5c08149ccf697034cbecaa5687,21.6,True,1
181,H180r0.8d40t3.0,"Zhao et al., 2019",4550546d4107089c8c56a7b8aa8af436,19.03,True,1
182,H200r0.2d40t2.0,"Zhao et al., 2019",34c1bb6d0be54c53de2751ada12ae03d,16.68,True,1
183,H200r0.4d40t2.0,"Zhao et al., 2019",88771f476c0f4e601b1ad58b957762f4,16.33,True,1
184,H200r0.6d40t2.0,"Zhao et al., 2019",6944f12f0a95dc522770ea65c45c0f35,15.15,True,1
185,H200r0.8d40t2.0,"Zhao et al., 2019",ca8fd7f355078ad26e6800fba05d9088,14.57,True,1
186,H200r0.2d40t2.5,"Zhao et al., 2019",b865b4e33dbbfbfcc95e8aa99c2f77c5,22.47,True,1
187,H200r0.4d40t2.5,"Zhao et al., 2019",552904d788c865bbd47be86f4f53ae9b,21.78,True,1
188,H200r0.6d40t2.5,"Zhao et al., 2019",c351fda9992c55baa66cb6d99edcb4f9,19.96,True,1
189,H200r0.8d40t2.5,"Zhao et al., 2019",4478af44f1337f5553ef7a0ba9c071ff,16.74,True,1
190,H200r0.2d40t3.0,"Zhao et al., 2019",3d1b8fe13b8bf4abf273f98a9f7af896,28.05,True,1
191,H200r0.4d40t3.0,"Zhao et al., 2019",3e22f5071afd564d229ef936c827f3c2,27.03,True,1
192,H200r0.6d40t3.0,"Zhao et al., 2019",3b164ecde8890357a415a0579b77a4e0,24.91,True,1
193,H200r0.8d40t3.0,"Zhao et al., 2019",5a62f459df4f346d321dde95ab61efd5,22.28,True,1
194,H220r0.2d40t2.0,"Zhao et al., 2019",47b39eff655be61ac84c9bc326fa7111,18.69,True,1
195,H220r0.4d40t2.0,"Zhao et al., 2019",2d27cde6b0a28b02b9a8c20dad5d4a91,18.28,True,1
196,H220r0.6d40t2.0,"Zhao et al., 2019",d4faf1ba6159c8615fbda1a4c878391b,16.27,True,1
197,H220r0.8d40t2.0,"Zhao et al., 2019",569932c96a3c239a00859735b5494a43,14.32,True,1
198,H220r0.2d40t2.5,"Zhao et al., 2019",0987efc39f65579dee490f43935a967a,25.24,True,1
199,H220r0.4d40t2.5,"Zhao et al., 2019",97e623f9a79b9cfd5ae97fdb19216891,24.46,True,1
200,H220r0.6d40t2.5,"Zhao et al., 2019",63bc20c8167694c2841bc1bbb3fc0370,22.63,True,1
201,H220r0.8d40t2.5,"Zhao et al., 2019",dcb7b88eea034e8d21e43db7d504372e,19.25,True,1
203,H220r0.2d40t3.0,"Zhao et al., 2019",4c326c3408244af41c963ff7ce27df71,31.57,True,1
